lng,lat,store_id,star_rating,comp_cvs,comp_walgreens,comp_ttl_store,store_sales_usd_amt,age_millenials,modeled_vs_actual_quadrant,city,county_name,state_name,owner_name,dma_name
-83.95516,33.85907,Kroger_01100443,5,109,52,104,2596785.39,103,Top,Loganville,Gwinnett,Georgia,Kroger,Atlanta
-84.14508,33.7176,Kroger_01100445,4,67,68,86,2596785.39,113,Top,Lithonia,DeKalb,Georgia,Kroger,Atlanta
-84.99402,34.75908,Kroger_01100458,5,74,94,105,2596785.39,93,Top,Dalton,Whitfield,Georgia,Kroger,Chattanooga
-81.09805,31.95658,Kroger_01100460,3,134,122,108,2596785.39,94,Overachieving,Savannah,Chatham,Georgia,Kroger,Savannah
-84.16943,34.12242,Kroger_01100486,3,197,93,166,2596785.39,69,Underachieving,Cumming,Forsyth,Georgia,Kroger,Atlanta
-81.59723,31.8358,Kroger_01100487,5,49,43,60,2596785.39,118,Top,Hinesville,Liberty,Georgia,Kroger,Savannah
-84.27793,34.09617,Kroger_01100495,2,145,77,86,2596785.39,96,Bottom,Alpharetta,Fulton,Georgia,Kroger,Atlanta
-84.27137,33.98834,Kroger_01100653,1,181,150,132,2596785.39,104,Bottom,Johns Creek,Fulton,Georgia,Kroger,Atlanta
-84.4675088,33.9198258,Kroger_01100730,4,144,91,202,2596785.39,105,Top,Marietta,Cobb,Georgia,Kroger,Atlanta
-84.5984704,39.1906753,Kroger_01400370,1,80,71,103,3656298.67,134,Bottom,Cincinnati,Hamilton,Ohio,Kroger,Cincinnati
-83.7902769,38.6267345,Kroger_01400420,4,56,66,83,3656298.67,85,Top,Maysville,Mason,Kentucky,Kroger,Cincinnati
-84.47818,39.09143,Kroger_01400423,1,83,136,126,3656298.67,134,Bottom,Newport,Campbell,Kentucky,Kroger,Cincinnati
-84.27939,39.35903,Kroger_01400426,1,109,97,120,3656298.67,111,Bottom,Mason,Warren,Ohio,Kroger,Cincinnati
-84.6007359,39.1279089,Kroger_01400432,1,61,111,95,3656298.67,141,Bottom,Cincinnati,Hamilton,Ohio,Kroger,Cincinnati
-84.64287,39.17548,Kroger_01400444,3,53,70,80,3656298.67,129,Bottom,Cincinnati,Hamilton,Ohio,Kroger,Cincinnati
-84.76086,39.1721,Kroger_01400445,2,119,92,117,3656298.67,107,Bottom,Cleves,Hamilton,Ohio,Kroger,Cincinnati
-84.5521465,39.0476823,Kroger_01400477,2,86,138,105,3656298.67,114,Bottom,Fort Mitchell,Kenton,Kentucky,Kroger,Cincinnati
-84.51253,39.10682,Kroger_01400513,1,102,143,149,3656298.67,174,Bottom,Cincinnati,Hamilton,Ohio,Kroger,Cincinnati
-83.83599,39.93742,Kroger_01400832,2,79,86,70,3656298.67,112,Overachieving,Springfield,Clark,Ohio,Kroger,Dayton
-84.25728,39.56125,Kroger_01400925,2,108,45,92,3656298.67,119,Bottom,Springboro,Warren,Ohio,Kroger,Cincinnati
-84.10848,39.63998,Kroger_01400935,2,109,80,99,3656298.67,115,Bottom,Centerville,Greene,Ohio,Kroger,Dayton
-84.6142,39.09605,Kroger_01400944,1,52,71,68,3656298.67,141,Bottom,Cincinnati,Hamilton,Ohio,Kroger,Cincinnati
-84.45336,39.02585,Kroger_01400946,2,108,186,129,3656298.67,105,Bottom,Cold Spring,Campbell,Kentucky,Kroger,Cincinnati
-84.10286,39.66258,Kroger_01400960,2,46,40,49,3656298.67,124,Bottom,Centerville,Greene,Ohio,Kroger,Dayton
-82.8220347,39.9550474,Kroger_01600232,3,69,50,67,2730603.26,143,Bottom,Reynoldsburg,Franklin,Ohio,Kroger,"Columbus, OH"
-83.01635,39.33395,Kroger_01600312,4,111,46,76,2730603.26,109,Top,Chillicothe,Ross,Ohio,Kroger,"Columbus, OH"
-82.977,39.13321,Kroger_01600363,5,130,62,101,2730603.26,114,Top,Waverly,Pike,Ohio,Kroger,"Columbus, OH"
-83.12094,39.92017,Kroger_01600519,3,163,60,89,2730603.26,134,Underachieving,Columbus,Franklin,Ohio,Kroger,"Columbus, OH"
-83.13311,41.36442,Kroger_01600536,2,71,19,52,2730603.26,114,Bottom,Fremont,Sandusky,Ohio,Kroger,Toledo
-80.7469967,40.0116254,Kroger_01600558,3,71,112,84,2730603.26,103,Overachieving,Bellaire,Belmont,Ohio,Kroger,Wheeling-Steubenville
-80.5528801,40.3974001,Kroger_01600803,3,53,80,96,2730603.26,90,Bottom,Weirton,Brooke,West Virginia,Kroger,Wheeling-Steubenville
-83.07328,40.06475,Kroger_01600818,1,108,48,77,2730603.26,135,Bottom,Columbus,Franklin,Ohio,Kroger,"Columbus, OH"
-83.44561,39.53307,Kroger_01600822,3,142,78,99,2730603.26,113,Top,Washington Court Hou,Fayette,Ohio,Kroger,"Columbus, OH"
-82.86588,40.0543,Kroger_01600871,1,132,71,86,2730603.26,134,Bottom,Gahanna,Franklin,Ohio,Kroger,"Columbus, OH"
-83.64919,41.39164,Kroger_01600878,2,53,45,106,2730603.26,99,Bottom,Bowling Green,Wood,Ohio,Kroger,Toledo
-82.82549,40.08894,Kroger_01600881,1,179,67,134,2730603.26,121,Bottom,Columbus,Franklin,Ohio,Kroger,"Columbus, OH"
-82.90277,39.973,Kroger_01600897,2,199,104,101,2730603.26,135,Bottom,Whitehall,Franklin,Ohio,Kroger,"Columbus, OH"
-83.14074,40.03304,Kroger_01600966,1,126,50,107,2730603.26,138,Bottom,Hilliard,Franklin,Ohio,Kroger,"Columbus, OH"
-83.26308,42.54547,Kroger_01800440,1,333,101,131,2103515.73,105,Bottom,Bloomfield Hills,Oakland,Michigan,Kroger,Detroit
-83.43268,42.41387,Kroger_01800442,1,207,105,117,2103515.73,108,Bottom,Northville,Wayne,Michigan,Kroger,Detroit
-82.99423,42.61709,Kroger_01800449,1,169,117,88,2103515.73,113,Bottom,Sterling Heights,Macomb,Michigan,Kroger,Detroit
-83.26488,42.13671,Kroger_01800458,2,97,59,58,2103515.73,115,Bottom,Brownstown,Wayne,Michigan,Kroger,Detroit
-83.69714,42.08919,Kroger_01800576,1,229,118,148,2103515.73,112,Bottom,Milan,Washtenaw,Michigan,Kroger,Detroit
-83.708377,42.3026249,Kroger_01800605,1,151,54,73,2103515.73,100,Bottom,Ann Arbor,Washtenaw,Michigan,Kroger,Detroit
-83.51836,42.4919,Kroger_01800632,1,188,46,79,2103515.73,109,Bottom,Novi,Oakland,Michigan,Kroger,Detroit
-83.16032,42.44667,Kroger_01800642,3,191,62,125,2103515.73,143,Bottom,Ferndale,Oakland,Michigan,Kroger,Detroit
-82.96242,42.71461,Kroger_01800716,1,173,73,95,2103515.73,102,Bottom,Macomb,Macomb,Michigan,Kroger,Detroit
-83.18661,42.18637,Kroger_01800775,2,71,38,40,2103515.73,115,Bottom,Southgate,Wayne,Michigan,Kroger,Detroit
-82.98656,42.52342,Kroger_01800776,1,124,87,87,2103515.73,115,Bottom,Warren,Macomb,Michigan,Kroger,Detroit
-84.14714,42.999,Kroger_01800795,1,55,87,99,2103515.73,110,Bottom,Owosso,Shiawassee,Michigan,Kroger,Flint-Saginaw-Bay City
-86.14896,39.78879,Kroger_02100001,1,160,89,74,2064142.49,145,Bottom,Indianapolis,Marion,Indiana,Kroger,Indianapolis
-90.00553,40.55711,Kroger_02100317,3,95,195,99,2064142.49,74,Top,Canton,Fulton,Illinois,Kroger,Peoria-Bloomington
-86.53924,39.18763,Kroger_02100330,3,73,13,36,2064142.49,83,Bottom,Bloomington,Monroe,Indiana,Kroger,Indianapolis
-85.90205,39.22844,Kroger_02100710,3,76,41,43,2064142.49,101,Overachieving,Columbus,Bartholomew,Indiana,Kroger,Indianapolis
-90.97581,38.98824,Kroger_02100724,4,36,129,55,2064142.49,124,Top,Troy,Lincoln,Missouri,Kroger,St. Louis
-85.65666,40.05753,Kroger_02100816,3,115,68,63,2064142.49,89,Bottom,Anderson,Madison,Indiana,Kroger,Indianapolis
-85.48198,41.17154,Kroger_02100874,2,139,164,84,2064142.49,97,Bottom,Columbia City,Whitley,Indiana,Kroger,Ft. Wayne
-86.15991,39.61857,Kroger_02100909,1,88,66,68,2064142.49,111,Bottom,Greenwood,Johnson,Indiana,Kroger,Indianapolis
-89.62844,40.56865,Kroger_02100923,3,85,101,72,2064142.49,88,Bottom,Pekin,Tazewell,Illinois,Kroger,Peoria-Bloomington
-86.49749,39.15449,Kroger_02100928,2,78,18,38,2064142.49,83,Bottom,Bloomington,Monroe,Indiana,Kroger,Indianapolis
-89.6335,40.72712,Kroger_02100942,3,82,91,56,2064142.49,95,Bottom,Peoria,Peoria,Illinois,Kroger,Peoria-Bloomington
-86.9013,40.02201,Kroger_02100948,4,157,50,79,2064142.49,83,Top,Crawfordsville,Montgomery,Indiana,Kroger,Indianapolis
-86.01911,40.0485,Kroger_02100957,2,124,44,52,2064142.49,110,Bottom,Noblesville,Hamilton,Indiana,Kroger,Indianapolis
-87.37748,39.47235,Kroger_02100981,3,92,31,52,2064142.49,88,Top,Terre Haute,Vigo,Indiana,Kroger,Terre Haute
-87.51472,38.68228,Kroger_02400084,4,164,45,93,2318798.82,82,Top,Vincennes,Knox,Indiana,Kroger,Terre Haute
-84.10019,37.13867,Kroger_02400331,5,14,99,90,2318798.82,76,Top,London,Laurel,Kentucky,Kroger,Lexington
-85.76485,38.19454,Kroger_02400332,3,80,142,102,2318798.82,95,Bottom,Louisville,Jefferson,Kentucky,Kroger,Louisville
-84.21698,37.99421,Kroger_02400402,4,81,176,119,2318798.82,80,Top,Winchester,Clark,Kentucky,Kroger,Lexington
-84.44495,38.00326,Kroger_02400407,2,41,128,72,2318798.82,106,Bottom,Lexington,Fayette,Kentucky,Kroger,Lexington
-89.22973,37.4623,Kroger_02400672,4,107,181,133,2318798.82,79,Top,Anna,Union,Illinois,Kroger,Paducah-Cape Girardeau-Harrisburg
-88.94364,38.31192,Kroger_02400711,4,91,36,71,2318798.82,79,Top,Mount Vernon,Jefferson,Illinois,Kroger,Paducah-Cape Girardeau-Harrisburg
-83.95416,38.06123,Kroger_02400712,5,26,61,64,2318798.82,78,Top,Mount Sterling,Montgomery,Kentucky,Kroger,Lexington
-84.474076,36.7471946,Kroger_02400916,5,0,161,110,2318798.82,72,Top,Whitley City,McCreary,Kentucky,Kroger,Knoxville
-89.9184196,35.1490522,Kroger_02500439,3,40,187,111,2170244.55,95,Underachieving,Memphis,Shelby,Tennessee,Kroger,Memphis
-89.72622,35.15883,Kroger_02500457,4,69,177,119,2170244.55,94,Top,Cordova,Shelby,Tennessee,Kroger,Memphis
-89.51401,35.23073,Kroger_02500462,4,103,255,124,2170244.55,86,Top,Oakland,Fayette,Tennessee,Kroger,Memphis
-89.84001,35.20673,Kroger_02500489,4,21,73,53,2170244.55,101,Top,Bartlett,Shelby,Tennessee,Kroger,Memphis
-90.0130294,32.3563253,Kroger_02500497,4,66,114,85,2170244.55,101,Top,Flowood,Rankin,Mississippi,Kroger,"Jackson, MS"
-92.02841,34.97751,Kroger_02500613,5,15,53,76,2170244.55,140,Top,Cabot,Lonoke,Arkansas,Kroger,Little Rock-Pine Bluff
-93.07586,34.45091,Kroger_02500621,4,10,59,37,2170244.55,103,Top,Hot Springs,Garland,Arkansas,Kroger,Little Rock-Pine Bluff
-92.32436,34.7566,Kroger_02500636,4,34,120,86,2170244.55,150,Underachieving,Little Rock,Pulaski,Arkansas,Kroger,Little Rock-Pine Bluff
-86.41553,35.87135,Kroger_02600529,4,45,125,84,2580205.03,108,Top,Murfreesboro,Rutherford,Tennessee,Kroger,Nashville
-86.4414,35.84297,Kroger_02600532,4,36,62,58,2580205.03,114,Top,Murfreesboro,Rutherford,Tennessee,Kroger,Nashville
-87.02744,35.63033,Kroger_02600538,4,57,93,63,2580205.03,99,Top,Columbia,Maury,Tennessee,Kroger,Nashville
-86.38406,35.88639,Kroger_02600539,4,41,81,56,2580205.03,104,Top,Murfreesboro,Rutherford,Tennessee,Kroger,Nashville
-86.69888,36.32636,Kroger_02600541,4,70,179,109,2580205.03,103,Top,Goodlettsville,Davidson,Tennessee,Kroger,Nashville
-86.72559,36.11075,Kroger_02600542,4,129,200,131,2580205.03,97,Underachieving,Nashville,Davidson,Tennessee,Kroger,Nashville
-86.91826,35.92899,Kroger_02600568,3,99,199,108,2580205.03,89,Underachieving,Franklin,Williamson,Tennessee,Kroger,Nashville
-86.62121,36.33317,Kroger_02600571,4,49,127,86,2580205.03,98,Top,Hendersonville,Sumner,Tennessee,Kroger,Nashville
-86.86322,36.48823,Kroger_02600575,4,53,125,105,2580205.03,92,Top,Springfield,Robertson,Tennessee,Kroger,Nashville
-86.78408,34.7467,Kroger_02600606,4,34,37,42,2580205.03,116,Top,Madison,Madison,Alabama,Kroger,Huntsville-Decatur (Florence)
-84.00389,36.04598,Kroger_02600670,4,38,52,32,2580205.03,96,Top,Powell,Knox,Tennessee,Kroger,Knoxville
-83.99257,35.74241,Kroger_02600683,4,61,82,48,2580205.03,90,Top,Maryville,Blount,Tennessee,Kroger,Knoxville
-79.8876617,37.2729396,Kroger_02900322,3,101,18,68,2028061,95,Top,Vinton,Roanoke,Virginia,Kroger,Roanoke-Lynchburg
-82.51802,36.54785,Kroger_02900328,4,100,125,96,2028061,84,Top,Kingsport,Sullivan,Tennessee,Kroger,"Tri-Cities, TN-VA"
-79.86651,37.01403,Kroger_02900347,4,209,70,114,2028061,86,Top,Rocky Mount,Franklin,Virginia,Kroger,Roanoke-Lynchburg
-80.01186,37.22441,Kroger_02900401,3,124,39,95,2028061,90,Bottom,Roanoke,Roanoke,Virginia,Kroger,Roanoke-Lynchburg
-77.55547,37.64076,Kroger_02900500,3,155,115,107,2028061,116,Underachieving,Henrico,Henrico,Virginia,Kroger,Richmond-Petersburg
-77.6250868,37.6548575,Kroger_02900517,3,133,84,91,2028061,104,Bottom,Richmond,Henrico,Virginia,Kroger,Richmond-Petersburg
-79.8451082,38.9179643,Kroger_02900730,3,67,95,58,2028061,66,Overachieving,Elkins,Randolph,West Virginia,Kroger,Clarksburg-Weston
-80.74935,38.65812,Kroger_02900739,5,179,141,112,2028061,62,Top,Gassaway,Braxton,West Virginia,Kroger,Charleston-Huntington
-81.1294762,38.0107629,Kroger_02900780,4,94,111,96,2028061,68,Top,Oak Hill,Fayette,West Virginia,Kroger,Bluefield-Beckley-Oak Hill
-95.56674,30.70863,Kroger_03400145,4,41,20,53,2656553.03,80,Top,Huntsville,Walker,Texas,Kroger,Houston
-95.73646,29.99023,Kroger_03400179,3,62,55,48,2656553.03,116,Underachieving,Cypress,Harris,Texas,Kroger,Houston
-95.2457634,30.0716722,Kroger_03400359,4,66,82,71,2656553.03,107,Top,Kingwood,Montgomery,Texas,Kroger,Houston
-95.6905158,29.9723872,Kroger_03400362,3,77,75,67,2656553.03,122,Bottom,Cypress,Harris,Texas,Kroger,Houston
-95.72168,29.86002,Kroger_03400378,4,104,79,79,2656553.03,114,Top,Katy,Harris,Texas,Kroger,Houston
-95.73824,29.66386,Kroger_03400397,3,88,58,76,2656553.03,114,Underachieving,Richmond,Fort Bend,Texas,Kroger,Houston
-95.40083,29.80405,Kroger_03400609,3,131,163,102,2656553.03,118,Bottom,Houston,Harris,Texas,Kroger,Houston
-95.55456,30.03355,Kroger_03400738,3,141,111,92,2656553.03,105,Underachieving,Spring,Harris,Texas,Kroger,Houston
-96.99191,32.85537,Kroger_03500402,3,136,107,140,2484425.35,103,Overachieving,Irving,Dallas,Texas,Kroger,Dallas-Ft. Worth
-96.5984243,32.8384097,Kroger_03500403,4,76,60,91,2484425.35,101,Top,Garland,Dallas,Texas,Kroger,Dallas-Ft. Worth
-97.47741,32.72606,Kroger_03500439,3,141,114,95,2484425.35,111,Top,Fort Worth,Tarrant,Texas,Kroger,Dallas-Ft. Worth
-97.07113,33.03483,Kroger_03500456,3,119,72,65,2484425.35,99,Overachieving,Flower Mound,Denton,Texas,Kroger,Dallas-Ft. Worth
-96.60403,32.96927,Kroger_03500461,4,192,91,173,2484425.35,94,Top,Sachse,Dallas,Texas,Kroger,Dallas-Ft. Worth
-97.13931,33.2315,Kroger_03500493,4,47,26,36,2484425.35,112,Underachieving,Denton,Denton,Texas,Kroger,Dallas-Ft. Worth
-96.96069,32.80932,Kroger_03500495,3,78,57,66,2484425.35,86,Underachieving,Irving,Dallas,Texas,Kroger,Dallas-Ft. Worth
-96.70168,32.86527,Kroger_03500511,3,124,122,74,2484425.35,111,Bottom,Dallas,Dallas,Texas,Kroger,Dallas-Ft. Worth
-97.23017,32.93287,Kroger_03500516,3,80,95,70,2484425.35,94,Overachieving,Keller,Tarrant,Texas,Kroger,Dallas-Ft. Worth
-97.36055,32.70511,Kroger_03500520,3,123,107,139,2484425.35,92,Top,Fort Worth,Tarrant,Texas,Kroger,Dallas-Ft. Worth
-96.7206,32.9368,Kroger_03500526,3,120,50,69,2484425.35,86,Top,Richardson,Dallas,Texas,Kroger,Dallas-Ft. Worth
-96.81214,32.81312,Kroger_03500528,3,145,54,184,2484425.35,107,Bottom,Dallas,Dallas,Texas,Kroger,Dallas-Ft. Worth
-97.28923,32.8628,Kroger_03500536,4,141,123,131,2484425.35,107,Top,Fort Worth,Tarrant,Texas,Kroger,Dallas-Ft. Worth
-93.71905,32.44369,Kroger_03500539,4,45,37,41,2484425.35,122,Top,Shreveport,Caddo,Louisiana,Kroger,Shreveport
-96.6448,33.08301,Kroger_03500544,4,109,81,67,2484425.35,117,Top,Allen,Collin,Texas,Kroger,Dallas-Ft. Worth
-97.3951,32.88223,Kroger_03500576,4,53,62,86,2484425.35,138,Top,Fort Worth,Tarrant,Texas,Kroger,Dallas-Ft. Worth
-96.45023,32.7488,Kroger_03500579,5,32,24,69,2484425.35,126,Top,Forney,Kaufman,Texas,Kroger,Dallas-Ft. Worth
-96.89169,33.17024,Kroger_03500580,3,63,41,41,2484425.35,141,Underachieving,Little Elm,Denton,Texas,Kroger,Dallas-Ft. Worth
-97.04669,33.00993,Kroger_03500585,3,123,61,72,2484425.35,94,Overachieving,Flower Mound,Denton,Texas,Kroger,Dallas-Ft. Worth
-97.08307,32.57422,Kroger_03500594,4,57,46,78,2484425.35,100,Top,Mansfield,Tarrant,Texas,Kroger,Dallas-Ft. Worth
-96.76675,33.10996,Kroger_03500598,3,132,78,88,2484425.35,110,Top,Plano,Collin,Texas,Kroger,Dallas-Ft. Worth
-97.19344,32.68279,Kroger_03500695,4,121,109,110,2484425.35,107,Underachieving,Arlington,Tarrant,Texas,Kroger,Dallas-Ft. Worth
-97.04273,32.67392,Kroger_03500817,5,130,108,166,2484425.35,94,Top,Grand Prairie,Tarrant,Texas,Kroger,Dallas-Ft. Worth
-97.72679,32.45665,Kroger_03500917,4,76,56,92,2484425.35,121,Underachieving,Granbury,Hood,Texas,Kroger,Dallas-Ft. Worth
-86.10137,38.59659,Kroger_09000205,4,165,139,112,136585.96,93,Top,Salem,Washington,Indiana,Kroger,Louisville
-89.61499,39.83234,Kroger_09000258,3,31,60,27,136585.96,96,Overachieving,Springfield,Sangamon,Illinois,Kroger,Champaign & Springfield-Decatur
-89.9681354,38.6957265,Kroger_09000274,3,57,90,53,136585.96,111,Top,Collinsville,Madison,Illinois,Kroger,St. Louis
-89.98928,38.5898,Kroger_09000277,3,31,69,36,136585.96,111,Top,Fairview Heights,St. Clair,Illinois,Kroger,St. Louis
-90.12491,38.73029,Kroger_09000279,5,58,138,78,136585.96,101,Top,Granite City,Madison,Illinois,Kroger,St. Louis
-85.92597,37.00745,Kroger_09000284,5,10,84,67,136585.96,84,Top,Glasgow,Barren,Kentucky,Kroger,Bowling Green
-86.32895,40.75732,Kroger_09000325,4,130,68,57,136585.96,77,Top,Logansport,Cass,Indiana,Kroger,Indianapolis
-88.87816,36.34796,Kroger_09000341,5,80,57,98,136585.96,82,Top,Martin,Weakley,Tennessee,Kroger,Paducah-Cape Girardeau-Harrisburg
-88.10396,41.85969,Kroger_53100513,1,58,148,64,1686773.3,92,Bottom,Wheaton,DuPage,Illinois,Kroger,Chicago
-88.0682439,42.1975849,Kroger_53100514,1,57,123,49,1686773.3,83,Bottom,Lake Zurich,Lake,Illinois,Kroger,Chicago
-87.97099,42.38402,Kroger_53100523,2,55,105,49,1686773.3,84,Overachieving,Gurnee,Lake,Illinois,Kroger,Chicago
-87.88893,41.80458,Kroger_53100529,1,121,177,96,1686773.3,82,Bottom,Western Springs,Cook,Illinois,Kroger,Chicago
-87.8626358,42.1998706,Kroger_53100542,1,64,141,56,1686773.3,77,Bottom,Bannockburn,Lake,Illinois,Kroger,Chicago
-88.32337,42.22583,Kroger_53100544,2,22,58,26,1686773.3,96,Bottom,Crystal Lake,McHenry,Illinois,Kroger,Chicago
-87.9867,44.46449,Kroger_53400111,1,34,97,42,1214271.2,111,Bottom,Bellevue,Brown,Wisconsin,Kroger,Green Bay-Appleton
-89.20467,43.18142,Kroger_53400130,1,33,168,54,1214271.2,131,Bottom,Sun Prairie,Dane,Wisconsin,Kroger,Madison
-89.42142,43.01819,Kroger_53400182,1,44,183,49,1214271.2,129,Bottom,Fitchburg,Dane,Wisconsin,Kroger,Madison
-88.04615,42.93896,Kroger_53400366,1,88,264,101,1214271.2,110,Bottom,Hales Corners,Milwaukee,Wisconsin,Kroger,Milwaukee
-88.12701,43.08887,Kroger_53400368,1,125,249,119,1214271.2,108,Bottom,Brookfield,Waukesha,Wisconsin,Kroger,Milwaukee
-87.80789,42.78606,Kroger_53400378,1,51,159,59,1214271.2,108,Bottom,Racine,Racine,Wisconsin,Kroger,Milwaukee
-88.36638,43.10277,Kroger_53400398,1,51,169,56,1214271.2,118,Bottom,Nashotah,Waukesha,Wisconsin,Kroger,Milwaukee
-87.56059,44.15436,Kroger_53400408,1,67,143,63,1214271.2,95,Bottom,Two Rivers,Manitowoc,Wisconsin,Kroger,Green Bay-Appleton
-88.2172797,43.4274849,Kroger_53400417,2,32,96,44,1214271.2,105,Bottom,West Bend,Washington,Wisconsin,Kroger,Milwaukee
-88.04945,42.99681,Kroger_53400846,1,76,210,75,1214271.2,126,Bottom,West Allis,Milwaukee,Wisconsin,Kroger,Milwaukee
-87.8392174,42.7355197,Kroger_53400856,2,36,115,43,1214271.2,111,Bottom,Mount Pleasant,Racine,Wisconsin,Kroger,Milwaukee
-87.95871,43.06175,Kroger_53400879,1,67,206,72,1214271.2,133,Bottom,Milwaukee,Milwaukee,Wisconsin,Kroger,Milwaukee
-87.89713,43.05933,Kroger_53400882,1,54,216,103,1214271.2,168,Bottom,Milwaukee,Milwaukee,Wisconsin,Kroger,Milwaukee
-96.8484,37.82554,Kroger_61500029,4,63,93,113,1694207.9,48,Top,El Dorado,Butler,Kansas,Kroger,Wichita-Hutchinson Plus
-95.6744,39.09364,Kroger_61500054,3,12,61,32,1694207.9,46,Top,Topeka,Shawnee,Kansas,Kroger,Topeka
-97.2638,37.75081,Kroger_61500056,3,41,105,78,1694207.9,53,Overachieving,Wichita,Sedgwick,Kansas,Kroger,Wichita-Hutchinson Plus
-100.88469,37.97633,Kroger_61500060,4,0,31,39,1694207.9,35,Top,Garden City,Finney,Kansas,Kroger,Wichita-Hutchinson Plus
-97.41152,37.26812,Kroger_61500063,4,89,190,124,1694207.9,56,Top,Wellington,Sumner,Kansas,Kroger,Wichita-Hutchinson Plus
-97.61437,38.79928,Kroger_61500074,3,17,20,32,1694207.9,44,Bottom,Salina,Saline,Kansas,Kroger,Wichita-Hutchinson Plus
-97.24165,37.56359,Kroger_61500083,3,38,91,73,1694207.9,60,Top,Derby,Sedgwick,Kansas,Kroger,Wichita-Hutchinson Plus
-96.60985,39.19126,Kroger_61500094,3,20,24,27,1694207.9,55,Bottom,Manhattan,Riley,Kansas,Kroger,Topeka
-97.27235,37.66553,Kroger_61500096,3,27,94,65,1694207.9,56,Underachieving,Wichita,Sedgwick,Kansas,Kroger,Wichita-Hutchinson Plus
-96.15545,41.26391,Kroger_61500321,2,39,88,44,1694207.9,110,Overachieving,Omaha,Douglas,Nebraska,Kroger,Omaha
-104.9162749,39.737808,Kroger_62000005,1,66,146,64,2866145.29,174,Bottom,Denver,Denver,Colorado,Kroger,Denver
-104.64595,38.243,Kroger_62000012,3,5,43,21,2866145.29,131,Bottom,Pueblo,Pueblo,Colorado,Kroger,Colorado Springs-Pueblo
-105.04952,39.65365,Kroger_62000019,2,91,193,94,2866145.29,128,Bottom,Denver,Denver,Colorado,Kroger,Denver
-104.94144,39.7027,Kroger_62000021,1,158,274,185,2866145.29,179,Overachieving,Denver,Denver,Colorado,Kroger,Denver
-104.97666,39.88405,Kroger_62000024,3,38,98,47,2866145.29,139,Bottom,Thornton,Adams,Colorado,Kroger,Denver
-105.20112,40.07192,Kroger_62000028,1,40,161,56,2866145.29,124,Bottom,Boulder,Boulder,Colorado,Kroger,Denver
